name,dex_id,short_desc,long_desc,height,weight,gen_introduced,types,abilities,pre_evolution,evolution_condition,evolutions,is_mega,megas,move_set,health,attack,defense,sp_attack,sp_defense,speed,ev_yield,pokemon_db_source,bulbapedia_source
Bulbasaur,1,Bulbasaur is a Grass/Poison type Pokémon introduced in Generation 1. It is known as the Seed Pokémon.,"Bulbasaur is a small, quadruped Pokémon that has blue-green skin with darker patches. It has red eyes with white pupils, pointed, ear-like structures on top of its head, and a short, blunt snout with a wide mouth. A pair of small, pointed teeth are visible in the upper jaw when its mouth is open. Each of its thick legs ends with three sharp claws. On its back is a green plant bulb, which is grown from a seed planted there at birth. The bulb provides it with energy through photosynthesis as well as from the nutrient-rich seeds contained within.

As mentioned in the anime, starter Pokémon are raised by Breeders to be distributed to new Trainers. Having been domesticated from birth, Bulbasaur is regarded as both a rare and well-behaved Pokémon. It is known to be extremely loyal, even after long-term abandonment. Bulbasaur has also shown itself to be an excellent caretaker, even having a special technique called the ""Bulba-by."" To perform this technique, Bulbasaur uses its vines to pick up a young Pokémon and soothingly rocks it in the air.

It is found in grasslands and forests throughout the Kanto region. However, due to Bulbasaur's status as starter Pokémon, it is hard to come by in the wild and generally found under the ownership of a Trainer. It has been observed that a Bulbasaur's bulb will flash blue when it is ready to evolve. If it does not want to evolve, it struggles to resist the transformation. Many Bulbasaur gather every year in a hidden garden in Kanto to evolve into Ivysaur in a ceremony led by a Venusaur.
",0.7,6.9,1,"Grass, Poison","Overgrow, Chlorophyll",,,Ivysaur,False,,"Charm, Tackle, Knock Off, Sleep Powder, Sweet Scent, Return, Mimic, Swords Dance, Vine Whip, Amnesia, Take Down, Ingrain, Facade, Sludge, Swagger, Rock Smash, Secret Power, Poison Powder, Captivate, Flash, Natural Gift, Seed Bomb, Skull Bash, Double-Edge, Razor Wind, Round, Protect, Sunny Day, Bind, Giga Drain, Safeguard, Bullet Seed, Solar Beam, Reflect, Magical Leaf, Curse, Confide, Fury Cutter, Toxic, Leech Seed, Mud-Slap, String Shot, Razor Leaf, Grassy Terrain, Cut, Worry Seed, Rest, Bide, Endure, Grass Knot, Strength, Sludge Bomb, Echoed Voice, Substitute, Synthesis, Body Slam, Nature Power, Defense Curl, Hidden Power, Growth, Grass Pledge, Grass Whistle, Light Screen, Double Team, Energy Ball, Frustration, Rage, Mega Drain, Work Up, Petal Dance, Growl, Sleep Talk, Power Whip, Leaf Storm, Headbutt, Venoshock, Attract, Snore",45,49,49,65,65,45,{'sp_attack': 1},https://pokemondb.net/pokedex/bulbasaur,http://bulbapedia.bulbagarden.net/wiki/Bulbasaur_(Pok%C3%A9mon)
Ivysaur,2,Ivysaur is a Grass/Poison type Pokémon introduced in Generation 1. It is known as the Seed Pokémon.,"Ivysaur is a quadruped Pokémon that has blue-green skin with darker patches. On top of its head are pointed ears with black insides and it has narrow red eyes. It has a short, rounded snout with a wide mouth and two pointed teeth in its upper jaw. Each of its feet has three claws on them. The bulb on its back has bloomed into a large pink bud. A short brown trunk surrounded by leafy green fronds supports the bud. The weight of the plant prevents Ivysaur from standing on its hind legs and forces its legs to grow sturdy. When its flower is ready to bloom, it gives off a distinct, strong sweet-smelling aroma and starts swelling. Ivysaur will also start spending more time in sunlight in preparation for its upcoming evolution. Exposure to sunlight adds to the strength of both Ivysaur and its plant. Ivysaur's natural habitat is plains.
",1.0,13.0,1,"Grass, Poison","Overgrow, Chlorophyll",Bulbasaur,(Level 16),Venusaur,False,,"Charm, Tackle, Knock Off, Sleep Powder, Sweet Scent, Return, Mimic, Swords Dance, Vine Whip, Amnesia, Take Down, Ingrain, Facade, Sludge, Swagger, Rock Smash, Secret Power, Poison Powder, Captivate, Flash, Natural Gift, Skull Bash, Seed Bomb, Double-Edge, Razor Wind, Round, Protect, Sunny Day, Bind, Giga Drain, Safeguard, Bullet Seed, Solar Beam, Reflect, Magical Leaf, Curse, Confide, Fury Cutter, Toxic, Leech Seed, Mud-Slap, String Shot, Razor Leaf, Grassy Terrain, Cut, Worry Seed, Rest, Bide, Endure, Grass Knot, Strength, Sludge Bomb, Echoed Voice, Substitute, Synthesis, Body Slam, Nature Power, Defense Curl, Hidden Power, Growth, Grass Pledge, Grass Whistle, Light Screen, Double Team, Energy Ball, Frustration, Rage, Mega Drain, Work Up, Petal Dance, Growl, Sleep Talk, Power Whip, Leaf Storm, Headbutt, Venoshock, Attract, Snore",60,62,63,80,80,60,"{'sp_attack': 1, 'sp_defense': 1}",https://pokemondb.net/pokedex/ivysaur,http://bulbapedia.bulbagarden.net/wiki/Ivysaur_(Pok%C3%A9mon)
Venusaur,3,Venusaur is a Grass/Poison type Pokémon introduced in Generation 1. It is known as the Seed Pokémon.,"Venusaur is a squat, quadruped Pokémon with bumpy, blue-green skin. It has small, circular red eyes, a short, blunt snout, and a wide mouth with two pointed teeth in the upper jaw and four in the lower jaw. On top of its head are small, pointed ears with reddish pink insides. It has three clawed toes on each foot. The bud on its back has bloomed in a large pink, white-spotted flower. The flower is supported by a thick, brown trunk surrounded by green fronds. A female Venusaur will have a seed in the center of its flower.

As Mega Venusaur, the flower on its back grows larger and two smaller pink flowers bloom, one on its forehead and one on its rear. The weight of the flower causes its legs and back to become sturdier in order to support it. Additional leaves with woody stems, which are supported by vines, are grown around the flower. Mega Venusaur also develops dark markings on its forehead below the new flower.

Venusaur uses its flower to catch the sun's rays to convert them into energy, which causes the flower to become more vibrant. The flower releases a soothing scent that attracts Pokémon and calms emotions. This scent becomes stronger after a rainy day. In the anime, Venusaur has demonstrated the ability to manipulate nature, release several vines from its back, and lead evolution ceremonies for Bulbasaur and Ivysaur. Frenzy Plant was its signature move in the past. This Pokémon is rarely found in the wild, but has been known to inhabit grasslands.
",2.0,100.0,1,"Grass, Poison","Overgrow, Chlorophyll",Ivysaur,(Level 32),,False,Mega Venusaur,"Charm, Tackle, Knock Off, Sleep Powder, Outrage, Sweet Scent, Return, Mimic, Swords Dance, Vine Whip, Amnesia, Take Down, Ingrain, Facade, Sludge, Earthquake, Frenzy Plant, Swagger, Rock Smash, Secret Power, Poison Powder, Captivate, Giga Impact, Flash, Natural Gift, Skull Bash, Seed Bomb, Double-Edge, Razor Wind, Round, Hyper Beam, Protect, Sunny Day, Bind, Giga Drain, Safeguard, Bullet Seed, Solar Beam, Reflect, Curse, Confide, Fury Cutter, Magical Leaf, Toxic, Leech Seed, Mud-Slap, Petal Blizzard, String Shot, Razor Leaf, Grassy Terrain, Cut, Worry Seed, Bide, Rest, Endure, Grass Knot, Strength, Sludge Bomb, Bulldoze, Echoed Voice, Substitute, Roar, Synthesis, Body Slam, Nature Power, Defense Curl, Hidden Power, Growth, Stomping Tantrum, Grass Pledge, Grass Whistle, Light Screen, Double Team, Energy Ball, Frustration, Rage, Block, Mega Drain, Work Up, Petal Dance, Growl, Sleep Talk, Headbutt, Power Whip, Leaf Storm, Venoshock, Attract, Snore",80,82,83,100,100,80,"{'sp_attack': 2, 'sp_defense': 1}",https://pokemondb.net/pokedex/venusaur,http://bulbapedia.bulbagarden.net/wiki/Venusaur_(Pok%C3%A9mon)
Mega Venusaur,3,Venusaur is a Grass/Poison type Pokémon introduced in Generation 1. It is known as the Seed Pokémon.,"Venusaur is a squat, quadruped Pokémon with bumpy, blue-green skin. It has small, circular red eyes, a short, blunt snout, and a wide mouth with two pointed teeth in the upper jaw and four in the lower jaw. On top of its head are small, pointed ears with reddish pink insides. It has three clawed toes on each foot. The bud on its back has bloomed in a large pink, white-spotted flower. The flower is supported by a thick, brown trunk surrounded by green fronds. A female Venusaur will have a seed in the center of its flower.

As Mega Venusaur, the flower on its back grows larger and two smaller pink flowers bloom, one on its forehead and one on its rear. The weight of the flower causes its legs and back to become sturdier in order to support it. Additional leaves with woody stems, which are supported by vines, are grown around the flower. Mega Venusaur also develops dark markings on its forehead below the new flower.

Venusaur uses its flower to catch the sun's rays to convert them into energy, which causes the flower to become more vibrant. The flower releases a soothing scent that attracts Pokémon and calms emotions. This scent becomes stronger after a rainy day. In the anime, Venusaur has demonstrated the ability to manipulate nature, release several vines from its back, and lead evolution ceremonies for Bulbasaur and Ivysaur. Frenzy Plant was its signature move in the past. This Pokémon is rarely found in the wild, but has been known to inhabit grasslands.
",2.4,155.5,,"Grass, Poison",Thick Fat,Ivysaur,,,True,,"Charm, Tackle, Knock Off, Sleep Powder, Outrage, Sweet Scent, Return, Mimic, Swords Dance, Vine Whip, Amnesia, Take Down, Ingrain, Facade, Sludge, Earthquake, Frenzy Plant, Swagger, Rock Smash, Secret Power, Poison Powder, Captivate, Giga Impact, Flash, Natural Gift, Skull Bash, Seed Bomb, Double-Edge, Razor Wind, Round, Hyper Beam, Protect, Sunny Day, Bind, Giga Drain, Safeguard, Bullet Seed, Solar Beam, Reflect, Curse, Confide, Fury Cutter, Magical Leaf, Toxic, Leech Seed, Mud-Slap, Petal Blizzard, String Shot, Razor Leaf, Grassy Terrain, Cut, Worry Seed, Bide, Rest, Endure, Grass Knot, Strength, Sludge Bomb, Bulldoze, Echoed Voice, Substitute, Roar, Synthesis, Body Slam, Nature Power, Defense Curl, Hidden Power, Growth, Stomping Tantrum, Grass Pledge, Grass Whistle, Light Screen, Double Team, Energy Ball, Frustration, Rage, Block, Mega Drain, Work Up, Petal Dance, Growl, Sleep Talk, Headbutt, Power Whip, Leaf Storm, Venoshock, Attract, Snore",80,100,123,122,120,80,"{'sp_attack': 2, 'sp_defense': 1}",https://pokemondb.net/pokedex/venusaur,http://bulbapedia.bulbagarden.net/wiki/Venusaur_(Pok%C3%A9mon)
Charmander,4,Charmander is a Fire type Pokémon introduced in Generation 1. It is known as the Lizard Pokémon.,"Charmander is a bipedal, reptilian Pokémon with a primarily orange body and blue eyes. Its underside from the chest down and the soles of its feet are cream-colored. It has two small fangs visible in its upper jaw and two smaller fangs in its lower jaw. A fire burns at the tip of this Pokémon's slender tail and has blazed there since Charmander's birth. The flame can be used as an indication of Charmander's health and mood, burning brightly when the Pokémon is strong, weakly when it is exhausted, wavering when it is happy, and blazing when it is enraged. It is said that Charmander dies if its flame goes out. However, if the Pokémon is healthy, the flame will continue to burn even if it gets a bit wet and is said to steam in the rain.

Charmander can be found in hot, mountainous areas. However, it is found far more often in the ownership of Trainers. As shown in Pokémon Snap, Charmander exhibits pack behavior, calling others of its species if it finds food.
",0.6,8.5,1,,"Blaze, Solar Power",,,Charmeleon,False,,"Iron Tail, Inferno, Swift, Crunch, Outrage, Return, Mimic, Swords Dance, Heat Wave, Brick Break, Take Down, Facade, Mega Punch, Dig, Swagger, Flame Burst, Dragon Breath, Belly Drum, Seismic Toss, Rock Smash, Flame Charge, Secret Power, Captivate, Air Cutter, Metal Claw, Thunder Punch, Rock Tomb, Natural Gift, Skull Bash, Double-Edge, Attract, Fire Fang, Dragon Claw, Round, Dynamic Punch, Protect, Sunny Day, Beat Up, Fire Punch, Submission, Power-Up Punch, Reflect, Curse, Confide, Fury Cutter, Dragon Rage, Toxic, Incinerate, Overheat, Ember, Mud-Slap, Scary Face, Cut, Bide, Rest, Endure, Strength, Echoed Voice, Substitute, Ancient Power, Counter, Mega Kick, Body Slam, Rock Slide, Scratch, Dragon Rush, Smokescreen, Bite, Aerial Ace, Defense Curl, Hidden Power, Hone Claws, Double Team, Frustration, Will-O-Wisp, Rage, Fire Pledge, Fire Spin, Leer, Work Up, Shadow Claw, Focus Punch, Flamethrower, Growl, Sleep Talk, Dragon Dance, Fire Blast, Headbutt, Fling, Dragon Pulse, Slash, Flare Blitz, Snore",39,52,43,60,50,65,{'speed': 1},https://pokemondb.net/pokedex/charmander,http://bulbapedia.bulbagarden.net/wiki/Charmander_(Pok%C3%A9mon)
Charmeleon,5,Charmeleon is a Fire type Pokémon introduced in Generation 1. It is known as the Flame Pokémon.,"Charmeleon is a bipedal, reptilian Pokémon. It has dark red scales and a cream underside from the chest down. It has narrow, blue eyes and a long snout with a slightly hooked tip. On the back of its head is a single horn-like protrusion. It has relatively long arms with three sharp claws. Its short legs have plantigrade feet with three claws and cream-colored soles. The tip of its long, powerful tail has a flame burning on it. The temperature rises to unbearable levels if Charmeleon swings its tail.

Charmeleon has a vicious nature and will constantly seek out opponents. Strong opponents excite this Pokémon, causing it to spout bluish-white flames that torch its surroundings. However, it will relax once it has won. It is rare in the wild, but it can be found in mountainous areas.
",1.1,19.0,1,,"Blaze, Solar Power",Charmander,(Level 16),Charizard,False,,"Iron Tail, Inferno, Swift, Crunch, Outrage, Return, Mimic, Swords Dance, Heat Wave, Brick Break, Take Down, Facade, Mega Punch, Dig, Swagger, Flame Burst, Dragon Breath, Belly Drum, Seismic Toss, Rock Smash, Flame Charge, Secret Power, Captivate, Air Cutter, Metal Claw, Thunder Punch, Rock Tomb, Natural Gift, Skull Bash, Double-Edge, Attract, Fire Fang, Dragon Claw, Round, Dynamic Punch, Protect, Sunny Day, Beat Up, Fire Punch, Submission, Power-Up Punch, Reflect, Curse, Confide, Fury Cutter, Dragon Rage, Toxic, Incinerate, Overheat, Ember, Mud-Slap, Scary Face, Cut, Bide, Rest, Endure, Strength, Echoed Voice, Substitute, Ancient Power, Counter, Mega Kick, Body Slam, Rock Slide, Scratch, Dragon Rush, Smokescreen, Bite, Aerial Ace, Defense Curl, Hidden Power, Hone Claws, Double Team, Frustration, Will-O-Wisp, Rage, Fire Pledge, Fire Spin, Leer, Work Up, Shadow Claw, Focus Punch, Flamethrower, Growl, Sleep Talk, Dragon Dance, Fire Blast, Headbutt, Fling, Dragon Pulse, Slash, Flare Blitz, Snore",58,64,58,80,65,80,"{'sp_attack': 1, 'speed': 1}",https://pokemondb.net/pokedex/charmeleon,http://bulbapedia.bulbagarden.net/wiki/Charmeleon_(Pok%C3%A9mon)
Charizard,6,Charizard is a Fire/Flying type Pokémon introduced in Generation 1. It is known as the Flame Pokémon.,"Charizard is a draconic, bipedal Pokémon. It is primarily orange with a cream underside from the chest to the tip of its tail. It has a long neck, small blue eyes, slightly raised nostrils, and two horn-like structures protruding from the back of its rectangular head. There are two fangs visible in the upper jaw when its mouth is closed. Two large wings with blue-green undersides sprout from its back, and a horn-like appendage juts out from the third joint of each wing. A single wing-finger is visible through the center of each wing membrane. Charizard's arms are short and skinny compared to its robust belly, and each limb has three white claws. It has stocky legs with cream-colored soles on each of its plantigrade feet. The tip of its long, tapering tail burns with a sizable flame.

Charizard has two Mega Forms. Both feature a shorter snout, white, vertical slit pupils, and a bright underside reaching the lower jaw.

As Mega Charizard X, its body and legs are more physically fit, though its arms remain thin. Its skin turns black with a sky-blue underside and soles. Two spikes with blue tips curve upward from the front and back of each shoulder, while the tips of its horns sharpen, turn blue, and curve slightly upward. Its brow and claws are larger, and its eyes are now red. It has two small, fin-like spikes under each horn and two more down its lower neck. The finger disappears from the wing membrane, and the lower edges are divided into large, rounded points. The third joint of each wing-arm is adorned with a claw-like spike. Mega Charizard X breathes blue flames out the sides of its mouth, and the flame on its tail now burns blue. It is said that its new power turns it black and creates more intense flames.

As Mega Charizard Y, it becomes sleeker in appearance but retains its normal coloration. It has three pointed horns on the back of its head, the middle of which is longer. Its snout has larger fangs and a ridge on the nose. Its neck is shorter, but its torso is thinner and longer. It features longer digitigrade feet. Its hands are less developed, with extremely shortened fingers that are no longer separated each from the others. Small wings develop on its wrists, while the ones on its back become larger, lose the wing finger passing through their membrane and end up with ragged edges. The back of its tail has a large spike at the base and three smaller ones near the tip, which now burns with a longer flame. Mega Charizard Y is said to have incredible flying prowess that is greater than a jet fighter.

Charizard flies in search of powerful opponents to battle, and its fire will burn hotter as it gains experience. Its fiery breath is capable of melting boulders, massive glaciers, and has been known to accidentally cause forest fires. In the past, Blast Burn was its signature move. Charizard typically inhabit mountains and valleys, such as the Charicific Valley in Johto. The anime has shown that only a weak Charizard would show off its power. It also showed that Charizard is able to swim underwater, with Pokémon Origins further showing that the flame on the tip of the tail can still keep burning underwater.
",1.7,90.5,1,"Fire, Flying","Blaze, Solar Power",Charmeleon,(Level 36),,False,"Mega Charizard X, Mega Charizard Y","Tailwind, Iron Tail, Inferno, Swift, Crunch, Outrage, Return, Mimic, Swords Dance, Ominous Wind, Heat Wave, Brick Break, Take Down, Facade, Mega Punch, Earthquake, Dig, Swagger, Flame Burst, Dragon Breath, Belly Drum, Seismic Toss, Rock Smash, Flame Charge, Secret Power, Captivate, Giga Impact, Air Slash, Air Cutter, Metal Claw, Thunder Punch, Rock Tomb, Sky Drop, Natural Gift, Skull Bash, Roost, Double-Edge, Twister, Attract, Fire Fang, Dragon Claw, Round, Hyper Beam, Protect, Dynamic Punch, Sunny Day, Beat Up, Fire Punch, Submission, Power-Up Punch, Solar Beam, Reflect, Fissure, Confide, Curse, Dragon Rage, Toxic, Fury Cutter, Incinerate, Blast Burn, Overheat, Brutal Swing, Ember, Mud-Slap, Scary Face, Cut, Bide, Rest, Endure, Strength, Bulldoze, Echoed Voice, Substitute, Ancient Power, Counter, Mega Kick, Roar, Body Slam, Rock Slide, Scratch, Dragon Rush, Smokescreen, Bite, Aerial Ace, Defense Curl, Fly, Hidden Power, Sandstorm, Hone Claws, Wing Attack, Defog, Double Team, Dragon Tail, Frustration, Will-O-Wisp, Rage, Steel Wing, Fire Spin, Fire Pledge, Leer, Focus Blast, Work Up, Shadow Claw, Focus Punch, Flamethrower, Growl, Sleep Talk, Dragon Dance, Fire Blast, Headbutt, Fling, Dragon Pulse, Slash, Flare Blitz, Snore",78,84,78,109,85,100,{'sp_attack': 3},https://pokemondb.net/pokedex/charizard,http://bulbapedia.bulbagarden.net/wiki/Charizard_(Pok%C3%A9mon)
Mega Charizard X,6,Charizard is a Fire/Flying type Pokémon introduced in Generation 1. It is known as the Flame Pokémon.,"Charizard is a draconic, bipedal Pokémon. It is primarily orange with a cream underside from the chest to the tip of its tail. It has a long neck, small blue eyes, slightly raised nostrils, and two horn-like structures protruding from the back of its rectangular head. There are two fangs visible in the upper jaw when its mouth is closed. Two large wings with blue-green undersides sprout from its back, and a horn-like appendage juts out from the third joint of each wing. A single wing-finger is visible through the center of each wing membrane. Charizard's arms are short and skinny compared to its robust belly, and each limb has three white claws. It has stocky legs with cream-colored soles on each of its plantigrade feet. The tip of its long, tapering tail burns with a sizable flame.

Charizard has two Mega Forms. Both feature a shorter snout, white, vertical slit pupils, and a bright underside reaching the lower jaw.

As Mega Charizard X, its body and legs are more physically fit, though its arms remain thin. Its skin turns black with a sky-blue underside and soles. Two spikes with blue tips curve upward from the front and back of each shoulder, while the tips of its horns sharpen, turn blue, and curve slightly upward. Its brow and claws are larger, and its eyes are now red. It has two small, fin-like spikes under each horn and two more down its lower neck. The finger disappears from the wing membrane, and the lower edges are divided into large, rounded points. The third joint of each wing-arm is adorned with a claw-like spike. Mega Charizard X breathes blue flames out the sides of its mouth, and the flame on its tail now burns blue. It is said that its new power turns it black and creates more intense flames.

As Mega Charizard Y, it becomes sleeker in appearance but retains its normal coloration. It has three pointed horns on the back of its head, the middle of which is longer. Its snout has larger fangs and a ridge on the nose. Its neck is shorter, but its torso is thinner and longer. It features longer digitigrade feet. Its hands are less developed, with extremely shortened fingers that are no longer separated each from the others. Small wings develop on its wrists, while the ones on its back become larger, lose the wing finger passing through their membrane and end up with ragged edges. The back of its tail has a large spike at the base and three smaller ones near the tip, which now burns with a longer flame. Mega Charizard Y is said to have incredible flying prowess that is greater than a jet fighter.

Charizard flies in search of powerful opponents to battle, and its fire will burn hotter as it gains experience. Its fiery breath is capable of melting boulders, massive glaciers, and has been known to accidentally cause forest fires. In the past, Blast Burn was its signature move. Charizard typically inhabit mountains and valleys, such as the Charicific Valley in Johto. The anime has shown that only a weak Charizard would show off its power. It also showed that Charizard is able to swim underwater, with Pokémon Origins further showing that the flame on the tip of the tail can still keep burning underwater.
",1.7,110.5,,"Fire, Dragon",Tough Claws,Charmeleon,,,True,,"Tailwind, Iron Tail, Inferno, Swift, Crunch, Outrage, Return, Mimic, Swords Dance, Ominous Wind, Heat Wave, Brick Break, Take Down, Facade, Mega Punch, Earthquake, Dig, Swagger, Flame Burst, Dragon Breath, Belly Drum, Seismic Toss, Rock Smash, Flame Charge, Secret Power, Captivate, Giga Impact, Air Slash, Air Cutter, Metal Claw, Thunder Punch, Rock Tomb, Sky Drop, Natural Gift, Skull Bash, Roost, Double-Edge, Twister, Attract, Fire Fang, Dragon Claw, Round, Hyper Beam, Protect, Dynamic Punch, Sunny Day, Beat Up, Fire Punch, Submission, Power-Up Punch, Solar Beam, Reflect, Fissure, Confide, Curse, Dragon Rage, Toxic, Fury Cutter, Incinerate, Blast Burn, Overheat, Brutal Swing, Ember, Mud-Slap, Scary Face, Cut, Bide, Rest, Endure, Strength, Bulldoze, Echoed Voice, Substitute, Ancient Power, Counter, Mega Kick, Roar, Body Slam, Rock Slide, Scratch, Dragon Rush, Smokescreen, Bite, Aerial Ace, Defense Curl, Fly, Hidden Power, Sandstorm, Hone Claws, Wing Attack, Defog, Double Team, Dragon Tail, Frustration, Will-O-Wisp, Rage, Steel Wing, Fire Spin, Fire Pledge, Leer, Focus Blast, Work Up, Shadow Claw, Focus Punch, Flamethrower, Growl, Sleep Talk, Dragon Dance, Fire Blast, Headbutt, Fling, Dragon Pulse, Slash, Flare Blitz, Snore",78,130,111,130,85,100,{'sp_attack': 3},https://pokemondb.net/pokedex/charizard,http://bulbapedia.bulbagarden.net/wiki/Charizard_(Pok%C3%A9mon)
Mega Charizard Y,6,Charizard is a Fire/Flying type Pokémon introduced in Generation 1. It is known as the Flame Pokémon.,"Charizard is a draconic, bipedal Pokémon. It is primarily orange with a cream underside from the chest to the tip of its tail. It has a long neck, small blue eyes, slightly raised nostrils, and two horn-like structures protruding from the back of its rectangular head. There are two fangs visible in the upper jaw when its mouth is closed. Two large wings with blue-green undersides sprout from its back, and a horn-like appendage juts out from the third joint of each wing. A single wing-finger is visible through the center of each wing membrane. Charizard's arms are short and skinny compared to its robust belly, and each limb has three white claws. It has stocky legs with cream-colored soles on each of its plantigrade feet. The tip of its long, tapering tail burns with a sizable flame.

Charizard has two Mega Forms. Both feature a shorter snout, white, vertical slit pupils, and a bright underside reaching the lower jaw.

As Mega Charizard X, its body and legs are more physically fit, though its arms remain thin. Its skin turns black with a sky-blue underside and soles. Two spikes with blue tips curve upward from the front and back of each shoulder, while the tips of its horns sharpen, turn blue, and curve slightly upward. Its brow and claws are larger, and its eyes are now red. It has two small, fin-like spikes under each horn and two more down its lower neck. The finger disappears from the wing membrane, and the lower edges are divided into large, rounded points. The third joint of each wing-arm is adorned with a claw-like spike. Mega Charizard X breathes blue flames out the sides of its mouth, and the flame on its tail now burns blue. It is said that its new power turns it black and creates more intense flames.

As Mega Charizard Y, it becomes sleeker in appearance but retains its normal coloration. It has three pointed horns on the back of its head, the middle of which is longer. Its snout has larger fangs and a ridge on the nose. Its neck is shorter, but its torso is thinner and longer. It features longer digitigrade feet. Its hands are less developed, with extremely shortened fingers that are no longer separated each from the others. Small wings develop on its wrists, while the ones on its back become larger, lose the wing finger passing through their membrane and end up with ragged edges. The back of its tail has a large spike at the base and three smaller ones near the tip, which now burns with a longer flame. Mega Charizard Y is said to have incredible flying prowess that is greater than a jet fighter.

Charizard flies in search of powerful opponents to battle, and its fire will burn hotter as it gains experience. Its fiery breath is capable of melting boulders, massive glaciers, and has been known to accidentally cause forest fires. In the past, Blast Burn was its signature move. Charizard typically inhabit mountains and valleys, such as the Charicific Valley in Johto. The anime has shown that only a weak Charizard would show off its power. It also showed that Charizard is able to swim underwater, with Pokémon Origins further showing that the flame on the tip of the tail can still keep burning underwater.
",1.7,100.5,,"Fire, Flying",Drought,Charmeleon,,,True,,"Tailwind, Iron Tail, Inferno, Swift, Crunch, Outrage, Return, Mimic, Swords Dance, Ominous Wind, Heat Wave, Brick Break, Take Down, Facade, Mega Punch, Earthquake, Dig, Swagger, Flame Burst, Dragon Breath, Belly Drum, Seismic Toss, Rock Smash, Flame Charge, Secret Power, Captivate, Giga Impact, Air Slash, Air Cutter, Metal Claw, Thunder Punch, Rock Tomb, Sky Drop, Natural Gift, Skull Bash, Roost, Double-Edge, Twister, Attract, Fire Fang, Dragon Claw, Round, Hyper Beam, Protect, Dynamic Punch, Sunny Day, Beat Up, Fire Punch, Submission, Power-Up Punch, Solar Beam, Reflect, Fissure, Confide, Curse, Dragon Rage, Toxic, Fury Cutter, Incinerate, Blast Burn, Overheat, Brutal Swing, Ember, Mud-Slap, Scary Face, Cut, Bide, Rest, Endure, Strength, Bulldoze, Echoed Voice, Substitute, Ancient Power, Counter, Mega Kick, Roar, Body Slam, Rock Slide, Scratch, Dragon Rush, Smokescreen, Bite, Aerial Ace, Defense Curl, Fly, Hidden Power, Sandstorm, Hone Claws, Wing Attack, Defog, Double Team, Dragon Tail, Frustration, Will-O-Wisp, Rage, Steel Wing, Fire Spin, Fire Pledge, Leer, Focus Blast, Work Up, Shadow Claw, Focus Punch, Flamethrower, Growl, Sleep Talk, Dragon Dance, Fire Blast, Headbutt, Fling, Dragon Pulse, Slash, Flare Blitz, Snore",78,104,78,159,115,100,{'sp_attack': 3},https://pokemondb.net/pokedex/charizard,http://bulbapedia.bulbagarden.net/wiki/Charizard_(Pok%C3%A9mon)
Squirtle,7,Squirtle is a Water type Pokémon introduced in Generation 1. It is known as the Tiny Turtle Pokémon.,"Squirtle is a small Pokémon that resembles a light blue turtle. While it typically walks on its two short legs, it has been shown to run on all fours in Super Smash Bros. Brawl. It has large, purplish or reddish eyes and a slightly hooked upper lip. Each of its hands and feet have three pointed digits. The end of its long tail curls inward. Its body is encased by a tough shell that forms and hardens after birth. This shell is brown on the top, pale yellow on the bottom, and has a thick white ridge between the two halves.

Squirtle's shell is a useful tool. It can withdraw into the shell for protection or to sleep. The grooved, rounded shape helps to reduce water resistance when this Pokémon swims. Squirtle can spray foamy water from its mouth with great accuracy. Squirtle is scarce in the wild, although it can be found around small ponds and lakes. The anime has shown that it can be found living on secluded islands with other members of its evolutionary line. In the past, Skull Bash was its signature move.

",0.5,9.0,1,,"Torrent, Rain Dish",,,Wartortle,False,,"Confusion, Withdraw, Iron Tail, Tackle, Foresight, Dive, Flail, Zen Headbutt, Return, Mimic, Refresh, Muddy Water, Iron Defense, Brick Break, Aqua Tail, Take Down, Facade, Mega Punch, Dig, Brine, Swagger, Water Gun, Seismic Toss, Bubble, Rock Smash, Secret Power, Captivate, Whirlpool, Blizzard, Mirror Coat, Yawn, Rock Tomb, Natural Gift, Icy Wind, Skull Bash, Double-Edge, Attract, Rollout, Round, Dynamic Punch, Protect, Fake Out, Rapid Spin, Submission, Surf, Power-Up Punch, Mist, Ice Punch, Reflect, Curse, Confide, Hail, Toxic, Mud-Slap, Tail Whip, Rain Dance, Bide, Rest, Endure, Aqua Jet, Strength, Hydro Pump, Water Pledge, Substitute, Waterfall, Counter, Mega Kick, Body Slam, Ice Beam, Bite, Defense Curl, Hidden Power, Mud Sport, Double Team, Water Spout, Water Pulse, Frustration, Rage, Scald, Aura Sphere, Work Up, Gyro Ball, Focus Punch, Aqua Ring, Sleep Talk, Haze, Bubble Beam, Headbutt, Fling, Dragon Pulse, Snore",44,48,65,50,64,43,{'defense': 1},https://pokemondb.net/pokedex/squirtle,http://bulbapedia.bulbagarden.net/wiki/Squirtle_(Pok%C3%A9mon)
